ID,SMILES,group,with_3F,racemic_trans,mixture_isomer,trans,Kd,IC50,erk_IC50
US_81,Oc1cc(-c2ncc3c(nc(OCCC(F)(F)F)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,US,0,0,0,0,320.6,152.9,8288.3
US_82,Oc1cc(-c2ncc3c(nc(OC4CCS(=O)CC4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,US,0,0,0,0,214.8,226.8,16666.7
US_83,Fc1c(ncc2c(nc(OCC34CCCN3C(=O)CC4)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,US,1,0,0,0,,8694.9,
US_84,Cc1nccn1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,US,0,0,0,0,14.4,31.7,5722.3
US_85,CC(C)Cn1ccnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,US,0,0,0,0,147.8,453.7,16666.7
US_86,COc1ccc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)cn1,US,0,0,0,0,527559.5,7919.9,
US_87,Cc1cccc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cc(O)cc3ccccc23)n1,US,0,0,0,0,195.8,535.6,10553.8
US_88,Cc1ccc2[nH]ncc2c1-c1ncc2c(nc(OCCc3nccn3C)nc2c1F)N1CC2CCC(C1)N2,US,0,0,0,0,15593.2,7021.4,
US_89,Oc1cc(-c2ncc3c(nc(OCc4ccccn4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,US,0,0,0,0,4308.7,679.3,
US_90,Fc1ccc2cccc(-c3ncc4c(nc(OCCc5cccnc5)nc4c3F)N3CC4CCC(C3)N4)c2c1,US,0,0,0,0,7805.4,4494.9,
US_91,CC(C)n1ccnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,US,0,0,0,0,25.9,32.7,5514.1
US_92,Fc1c(ncc2c(nc(OCCc3cn4ccccc4n3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,US,0,0,0,0,2303.5,1348.4,
US_93,Fc1c(ncc2c(nc(OCC34CCCN3CC(F)(F)C4)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,US,1,0,0,0,,104.6,16666.7
US_94,Cn1ccnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2ccccc12,US,0,0,0,0,7462.4,3652.5,
US_95,Cn1cncc1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,US,0,0,0,0,1129,561,
US_96,Oc1cc(-c2ncc3c(nc(OCCc4ccccc4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,US,0,0,0,0,709.6,2221,
US_97,Fc1c(ncc2c(nc(OC[C@@H]3CCCN3Cc3ccccc3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,US,0,0,0,0,5916.9,934.1,
US_98,Fc1ccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c2c1Cl,US,1,0,0,0,,1,388.6
US_99,Oc1cc(-c2ncc3c(nc(OCc4cccnc4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,US,0,0,0,0,896.6,623.8,
US_100,Cc1cccc2cccc(-c3ncc4c(nc(OCCc5nccn5C)nc4c3F)N3CC4CCC(C3)N4)c12,US,0,0,0,0,1089.4,1949.7,
US_101,Cc1cccc2cccc(-c3ncc4c(nc(OCCc5cccnc5)nc4c3F)N3CC4CCC(C3)N4)c12,US,0,0,0,0,11958.2,8081.6,
US_102,Oc1cc(-c2ncc3c(nc(OCCc4ccc(F)cn4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,US,0,0,0,0,259.1,95.8,7955.9
US_103,Clc1cccc2cccc(-c3ccc4c(nc(OCCCN5C[C@@H]6C[C@H]5CO6)nc4c3)N3CC4CCC(C3)N4)c12,US,0,0,0,0,271.2,371,16666.7
US_104,Cn1ccnc1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,US,0,0,0,0,362,1675.8,16666.7
US_105,COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,US,0,0,0,0,2264.8,867.1,
US_106,Oc1cc(-c2ncc3c(nc(OCCc4cccnc4)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,US,0,0,0,0,53.5,155.9,3096.3
US_107,CN(C)CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,US,0,0,0,0,1437,2118.1,
US_108,Fc1c(ncc2c(nc(OC[C@@H]3CCCN3Cc3ccccc3)nc12)N1CC2CCC(C1)N2)-c1cccc2ccccc12,US,0,0,0,0,63516.8,4841.5,
US_109,Oc1cc(-c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,US,1,0,0,0,500000,0.5,330.5
US_110,Cn1cncc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,US,0,0,0,0,42.3,57.5,16666.7
US_111,Cn1cncc1CCNc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,US,0,0,0,0,275.8,281,
US_112,Cn1ccnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2ccc(F)cc12,US,0,0,0,0,983.3,718.4,
US_113,Fc1c(ncc2c(nc(OCCc3cccnc3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,US,0,0,0,0,2503.9,2866.1,
US_114,Cn1ccnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,US,0,0,0,0,383.7,482.1,10259.6
US_115,CN1C[C@H](F)C[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,US,0,0,0,0,333377,174.3,9514
US_116,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(cc2n1)-c1cccc2cccc(C)c12,US,0,0,0,0,3628.8,1437.7,
US_117,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(cc2n1)-c1cccc2cccc(CCC#N)c12,US,1,0,0,0,1004.8,731.5,
US_118,Oc1cc(-c2ncc3c(nc(nc3c2F)N2CCCC2)N2CC3CCC(C2)N3)c2ccccc2c1,US,1,0,0,0,1061.5,476.6,16666.7
US_119,Oc1cc(-c2ncc3c(nc(nc3c2F)N2CCC2)N2CC3CCC(C2)N3)c2ccccc2c1,US,1,0,0,0,511.4,684.3,3700.2
US_120,CN(C)C1CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,US,1,0,0,0,42.1,28.8,2092.9
US_121,OC[C@@H]1CCN1c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,US,1,0,0,0,197,204.2,4077.1
US_122,CN(C)C1CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,US,0,0,0,0,3417.4,3265.3,16666.7
US_123,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(cc2n1)-c1cccc2cccc(Cl)c12,US,0,0,0,0,785.7,754.4,
US_124,CC1(N)CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,US,0,0,0,0,22.7,8.6,11087.4
US_125,CC1(N)CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,US,0,0,0,0,,667.5,
US_126,CCC1(N)CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,US,0,0,0,0,16.1,9.9,3470.6
US_127,CN(C)C1(C)CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,US,0,0,0,0,864.1,250.9,16666.7
US_128,CCC1(N)CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,US,0,0,0,0,,500.6,
US_129,Fc1c(ncc2c(nc(OCCC3CC(F)(F)C3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,US,0,0,0,0,,4092.5,
US_130,Fc1c(ncc2c(nc(nc12)N1CC2(CCN2)C1)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,US,0,0,0,0,,1647,
US_131,CN1CC(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)CC1=O,US,0,0,0,0,1553,423.9,16666.7
US_132,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,US,0,0,0,0,64.7,60.5,2558.7
US_133,CC1CCCc2cccc(-c3ncc4c(nc(OC[C@@H]5CCCN5C)nc4c3F)N3CC4CCC(C3)N4)c12,US,0,0,0,0,112.6,48.8,2048.8
